participant_id;mode;timestamp_end;duration;age_range;gender;education;job_function;experience;email_frequency;prior_training;device;P1_answer;P1_correct;P1_confidence;P1_cues;P1_time;P2_answer;P2_correct;P2_confidence;P2_cues;P2_time;P3_answer;P3_correct;P3_confidence;P3_cues;P3_time;P4_answer;P4_correct;P4_confidence;P4_cues;P4_time;L1_answer;L1_correct;L1_confidence;L1_cues;L1_time;L2_answer;L2_correct;L2_confidence;L2_cues;L2_time;L3_answer;L3_correct;L3_confidence;L3_cues;L3_time;L4_answer;L4_correct;L4_confidence;L4_cues;L4_time;P5_answer;P5_correct;P5_confidence;P5_cues;P5_time;P6_answer;P6_correct;P6_confidence;P6_cues;P6_time;P7_answer;P7_correct;P7_confidence;P7_cues;P7_time;P8_answer;P8_correct;P8_confidence;P8_cues;P8_time;L5_answer;L5_correct;L5_confidence;L5_cues;L5_time;L6_answer;L6_correct;L6_confidence;L6_cues;L6_time;L7_answer;L7_correct;L7_confidence;L7_cues;L7_time;L8_answer;L8_correct;L8_confidence;L8_cues;L8_time;Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8;phase1_accuracy;phase1_phishing_accuracy;phase1_legit_accuracy;phase2_accuracy;phase2_phishing_accuracy;phase2_legit_accuracy;phase1_avg_confidence;phase2_avg_confidence;phase1_cue_accuracy;excluded_IT;completed
a9bd5b5e;a;[redacted];996;25–34 tahun;;Sarjana (S1);Digital Marketing;3–5 tahun;Sedang (5–20 email per hari);Tidak;Smartphone / HP;phishing;1;6;B;46.5;phishing;1;5;B;95.8;phishing;1;7;A|C|D;80.3;phishing;1;5;C;100.9;legitimate;1;7;;34.4;phishing;0;6;;73.1;legitimate;1;7;;12.7;legitimate;1;6;;57.5;phishing;1;2;;24.1;phishing;1;7;;40.3;legitimate;0;4;;58.7;legitimate;0;5;;29.2;legitimate;1;6;;30.6;legitimate;1;7;;12.1;phishing;0;5;;27;legitimate;1;6;;17.2;6;2;6;5;6;2;6;;0.88;1;0.75;0.62;0.5;0.75;6.12;5.25;0.75;No;Yes
95653721;b;[redacted];620;25–34 tahun;;SMA / Sederajat;Manajemen / Eksekutif;3–5 tahun;Sedang (5–20 email per hari);Tidak;Smartphone / HP;phishing;1;7;C;50.5;phishing;1;6;C;104.1;phishing;1;6;A;75.9;phishing;1;6;D;19.9;legitimate;1;7;;17.8;legitimate;1;6;;37.2;phishing;0;4;;26.3;legitimate;1;7;;23.1;phishing;1;7;;6.3;phishing;1;5;;19.4;phishing;1;7;;8.1;phishing;1;7;;5.5;legitimate;1;7;;10.3;legitimate;1;7;;10;phishing;0;7;;9.7;legitimate;1;7;;14.8;5;5;4;6;5;7;2;domain yang asli dan tautan yang menajdi acuan saya;0.88;1;0.75;0.88;1;0.75;6.12;6.75;0.25;No;Yes
7c1d9b71;a;[redacted];557;34–44 tahun;;Sarjana (S1);Kuliner;6-10 tahun;Sering (lebih dari 20 email per hari);Tidak;Smartphone / HP;phishing;1;4;A|B|D;11.4;phishing;1;3;A|B|C|D;15.6;phishing;1;4;A|B|C|D;16.6;phishing;1;4;A|B|C|D;242.4;legitimate;1;6;;11.2;legitimate;1;6;;6.1;legitimate;1;6;;17.5;legitimate;1;6;;8;legitimate;0;6;;7.1;legitimate;0;6;;9.6;legitimate;0;6;;10.2;legitimate;0;6;;5.8;legitimate;1;6;;18.9;legitimate;1;6;;5.2;legitimate;1;6;;10.7;legitimate;1;6;;6.5;6;6;6;6;6;6;6;;1;1;1;0.5;0;1;4.88;6;1;No;Yes
1bc1052e;a;[redacted];684;25–34 tahun;Perempuan;Sarjana (S1);Mendidik;Lebih dari 10 tahun;Jarang (kurang dari 5 email per hari);Tidak;Smartphone / HP;phishing;1;6;A;28;phishing;1;3;A;32.2;phishing;1;5;A;111.7;phishing;1;5;B;49.8;legitimate;1;6;;13.5;legitimate;1;3;;28.5;legitimate;1;3;;38.2;legitimate;1;6;;19.9;legitimate;0;4;;10.5;phishing;1;4;;9;phishing;1;5;;22.2;legitimate;0;4;;55;legitimate;1;6;;13.4;legitimate;1;5;;13.5;legitimate;1;5;;16.9;legitimate;1;6;;19.5;4;5;5;5;6;4;4;;1;1;1;0.75;0.5;1;4.62;4.88;1;No;Yes
6b2a64d9;a;[redacted];334;18-24 tahun;;Sarjana (S1);Akademik / Pengajaran;3–5 tahun;Jarang (kurang dari 5 email per hari);Tidak;Smartphone / HP;legitimate;0;4;B;19.9;legitimate;0;6;B;19.5;legitimate;0;5;B;14.2;legitimate;0;5;B;18.3;legitimate;1;4;;22.1;legitimate;1;6;;10;phishing;0;1;;14.6;phishing;0;3;;20.7;legitimate;0;5;;10.8;legitimate;0;5;;15.7;legitimate;0;5;;6.8;legitimate;0;6;;12.9;legitimate;1;5;;5.1;legitimate;1;5;;10.9;legitimate;1;5;;9.6;legitimate;1;5;;19.1;4;5;5;5;4;4;5;Memberikan informasi yg cukup jelas;0.25;0;0.5;0.5;0;1;4.25;5.12;1;No;Yes
8c909279;a;[redacted];295;34–44 tahun;;Sarjana (S1);Akademik / Pengajaran;6-10 tahun;Jarang (kurang dari 5 email per hari);Tidak;Smartphone / HP;phishing;1;1;A;21.9;phishing;1;1;A;10.2;phishing;1;1;C;17.9;legitimate;0;1;A;34.2;legitimate;1;5;;6.5;legitimate;1;5;;9.5;legitimate;1;4;;12.3;legitimate;1;5;;13.9;phishing;1;1;;9.6;legitimate;0;5;;7.3;phishing;1;3;;10.8;legitimate;0;4;;8.8;legitimate;1;6;;9.2;phishing;0;1;;9;phishing;0;1;;10.4;phishing;0;1;;10.7;4;4;6;6;5;6;7;buatkan lebih simole lagi;0.88;0.75;1;0.38;0.5;0.25;2.88;2.75;0.75;No;Yes
92bcb3fb;a;[redacted];405;34–44 tahun;;Pascasarjana (S2/S3);Akademik / Pengajaran;Lebih dari 10 tahun;Sedang (5–20 email per hari);Tidak;Smartphone / HP;phishing;1;1;A;83.7;phishing;1;1;A;13.6;phishing;1;1;D;23.7;phishing;1;1;A;14.3;legitimate;1;5;;10.6;phishing;0;1;;16.5;legitimate;1;6;;12.4;phishing;0;1;;20.8;phishing;1;4;;11.4;phishing;1;4;;5.9;legitimate;0;5;;11.1;phishing;1;5;;18.6;legitimate;1;5;;9.1;phishing;0;4;;13.8;phishing;0;4;;8.2;legitimate;1;4;;13.1;4;2;6;4;6;3;4;;0.75;1;0.5;0.62;0.75;0.5;2.12;4.38;0.75;No;Yes
271f1581;a;[redacted];573;34–44 tahun;;Diploma (D1–D3);guru;3–5 tahun;Sedang (5–20 email per hari);Ya;Laptop;phishing;1;5;;11.8;legitimate;0;3;C;8.4;phishing;1;5;;10.4;phishing;1;2;;10;legitimate;1;4;;5;legitimate;1;3;;13.4;phishing;0;5;;90.1;phishing;0;3;;7.6;legitimate;0;3;;4.8;legitimate;0;6;;41.4;phishing;1;4;;5.1;legitimate;0;4;;5.1;phishing;0;6;;5.7;legitimate;1;5;;5;phishing;0;5;;7;legitimate;1;4;;6.7;5;4;5;5;5;4;5;tidak ada;0.62;0.75;0.5;0.38;0.25;0.5;3.75;4.62;0;No;Yes
2327d80c;b;[redacted];1170;34–44 tahun;Perempuan;Diploma (D1–D3);Administrasi / Sekretariat;3–5 tahun;Jarang (kurang dari 5 email per hari);Tidak;Smartphone / HP;phishing;1;5;A|B;165.1;phishing;1;4;;48.8;phishing;1;5;D;120.8;phishing;1;5;;66.4;legitimate;1;6;;11.2;phishing;0;6;;63.8;legitimate;1;5;;29.1;legitimate;1;6;;70.3;phishing;1;6;;6.2;legitimate;0;6;;22.1;legitimate;0;4;;18;legitimate;0;6;;19.8;legitimate;1;6;;17.8;legitimate;1;5;;15.8;phishing;0;6;;151;legitimate;1;6;;24.7;6;6;5;5;6;6;5;;0.88;1;0.75;0.5;0.25;0.75;5.25;5.62;0.5;No;Yes
7f57732d;b;[redacted];1656;25–34 tahun;Perempuan;Pascasarjana (S2/S3);Pemasaran / Sales;1–2 tahun;Jarang (kurang dari 5 email per hari);Tidak;Smartphone / HP;phishing;1;6;A;564.5;phishing;1;7;A;99.8;phishing;1;7;A;86.8;phishing;1;6;A;151.9;legitimate;1;7;;38.5;legitimate;1;7;;25.2;legitimate;1;7;;40.1;legitimate;1;7;;33.5;phishing;1;6;;95.8;phishing;1;7;;14.7;phishing;1;7;;25.1;phishing;1;7;;42.7;legitimate;1;6;;20.5;legitimate;1;7;;14.6;legitimate;1;5;;70.7;legitimate;1;7;;68.3;6;6;7;5;5;4;7;Paling membantu : peringatan;1;1;1;1;1;1;6.75;6.5;1;No;Yes
